Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Date
Denmark,192.53,101.27,73.91,80.17,85.02,6.96,28.93,21.52,81.80,2020-mid
Switzerland,190.92,114.83,78.42,73.10,125.69,8.52,28.93,21.89,80.05,2020-mid
Finland,186.40,93.94,74.47,75.96,72.71,8.69,29.41,11.79,59.21,2020-mid
Australia,185.03,103.38,58.33,77.81,75.89,7.44,35.00,23.22,94.20,2020-mid
Netherlands,184.18,86.76,72.85,75.68,74.63,7.45,28.15,26.11,87.53,2020-mid
Austria,181.68,79.38,75.57,78.56,71.78,10.85,25.79,21.65,78.22,2020-mid
Iceland,180.74,74.78,76.30,65.61,90.19,6.63,20.10,16.20,68.81,2020-mid
New Zealand,178.22,87.22,57.81,73.82,71.83,8.66,30.81,23.52,95.46,2020-mid
Germany,177.25,97.41,64.86,73.35,66.34,9.35,31.40,29.28,83.15,2020-mid
Estonia,175.99,66.08,76.44,72.52,52.93,8.83,24.59,19.02,64.28,2020-mid
Norway,174.55,83.40,65.38,74.51,96.80,8.68,26.62,20.14,71.37,2020-mid
Oman,173.08,87.30,79.38,58.83,49.42,6.11,22.82,37.51,67.22,2020-mid
Sweden,172.18,94.04,52.57,69.15,72.31,8.98,30.29,19.05,73.97,2020-mid
Slovenia,169.81,60.61,79.05,65.16,55.17,11.10,27.16,23.53,77.56,2020-mid
United States,169.78,108.29,52.30,69.20,72.47,3.72,33.02,38.17,76.69,2020-mid
Spain,167.05,67.73,67.67,78.69,55.27,9.55,29.38,40.37,93.98,2020-mid
Japan,163.23,78.88,78.33,80.23,86.22,13.28,39.41,39.34,84.79,2020-mid
Portugal,162.46,47.10,70.17,71.88,49.52,12.52,30.13,30.38,97.72,2020-mid
United Kingdom,161.20,86.98,55.46,74.88,65.67,9.63,34.51,40.62,87.77,2020-mid
Lithuania,159.77,55.57,66.12,70.51,44.85,11.09,25.65,27.91,69.86,2020-mid
Canada,158.88,83.22,59.36,71.77,66.18,8.18,33.84,27.97,52.69,2020-mid
Qatar,156.90,99.82,88.10,73.03,67.54,6.03,30.49,60.41,36.03,2020-mid
Croatia,156.77,43.25,75.33,63.75,56.31,13.91,28.14,30.07,89.89,2020-mid
United Arab Emirates,155.41,86.06,84.55,67.92,62.98,5.14,36.63,50.66,45.23,2020-mid
Czech Republic,154.70,59.28,74.60,75.18,45.05,16.43,29.71,39.46,77.13,2020-mid
France,150.68,76.21,52.63,80.68,76.34,14.07,35.04,43.64,89.78,2020-mid
Ireland,150.16,74.58,54.32,52.27,78.07,7.75,38.07,34.29,89.13,2020-mid
Slovakia,149.93,53.39,70.19,60.23,46.80,11.03,28.57,39.99,78.13,2020-mid
Belgium,149.75,80.12,54.71,74.80,73.59,6.91,36.43,53.66,86.03,2020-mid
Saudi Arabia,148.94,93.84,73.32,60.42,49.15,2.72,28.45,64.34,45.98,2020-mid
Latvia,148.68,49.49,62.57,62.14,49.18,8.75,31.56,34.07,74.70,2020-mid
Israel,146.89,73.94,69.56,73.40,82.52,13.47,36.08,57.48,93.78,2020-mid
Cyprus,146.86,56.80,68.43,52.53,59.93,7.48,23.60,55.11,92.80,2020-mid
Singapore,142.25,82.61,68.47,70.97,81.13,21.67,41.18,33.30,57.45,2020-mid
Taiwan,140.47,61.36,84.74,86.42,61.95,24.20,31.51,63.08,81.60,2020-mid
Italy,138.97,61.80,55.76,66.95,68.95,9.81,34.30,55.65,91.64,2020-mid
South Korea,136.27,81.67,72.67,82.26,75.93,19.41,39.86,62.25,68.39,2020-mid
Belarus,133.52,33.70,74.98,60.03,32.63,15.49,30.21,43.58,64.37,2020-mid
South Africa,132.39,73.52,22.71,64.16,37.52,4.24,39.42,57.12,95.25,2020-mid
Romania,131.69,46.70,72.18,55.46,36.23,10.96,34.75,58.79,77.69,2020-mid
Greece,131.51,40.75,58.70,56.64,57.50,10.70,33.71,52.33,94.18,2020-mid
Puerto Rico,130.96,71.16,35.25,55.57,70.02,3.66,34.16,50.06,71.25,2020-mid
Hungary,128.40,46.30,64.77,48.05,40.09,13.82,35.91,48.66,79.48,2020-mid
Bulgaria,127.14,44.11,61.45,56.20,38.39,9.11,29.45,65.43,82.76,2020-mid
Turkey,126.40,38.04,60.50,70.36,32.44,8.48,44.86,66.22,93.26,2020-mid
Poland,125.20,52.30,66.87,51.96,39.46,13.20,32.16,63.09,76.03,2020-mid
Uruguay,124.80,33.77,46.98,67.36,46.66,17.76,37.74,45.80,98.04,2020-mid
Ecuador,123.09,32.70,47.34,69.51,40.62,12.44,37.11,56.86,94.51,2020-mid
Bosnia And Herzegovina,123.05,41.58,56.43,53.22,36.57,12.15,25.92,61.72,80.48,2020-mid
Mexico,120.65,38.17,46.69,72.11,30.93,10.69,39.20,63.29,86.29,2020-mid
Malaysia,117.42,59.12,41.45,68.87,38.09,10.00,37.11,62.81,59.21,2020-mid
Georgia,116.37,24.77,79.50,52.16,29.71,14.48,35.40,70.60,84.20,2020-mid
